"ccpageid";"name";"party";"category";"country"
"12362388";"The Malta Independent";"";"Media";"Malta"
"12362477";"Times of Malta";"";"Media";"Malta"
"12362572";"Newsbook";"";"Media";"Malta"
"12362540";"TVM";"";"Media";"Malta"
"12362576";"Malta Daily";"";"Media";"Malta"
"12362371";"Malta Women's Lobby";"";"Societal";"Malta"
"12362392";"Repubblika";"";"Societal";"Malta"
"12362565";"Net News";"";"Media";"Malta"
"12362435";"Malta Today";"";"Media";"Malta"
"12362546";"TVAM";"";"Media";"Malta"
"12362365";"Aditus Foundation";"";"Societal";"Malta"
"12362350";"Caritas Malta";"";"Societal";"Malta"
"12362652";"Deo Debattista";"Partit Laburista";"Political";"Malta"
"12362482";"Alfred Sant";"Partit Laburista";"Political";"Malta"
"12362409";"MGRM - Malta LGBTIQ Rights Movement";"";"Societal";"Malta"
"12362352";"Malta Chamber of Commerce, Enterprise and Industry";"";"Media";"Malta"
"12362543";"Illum";"";"Media";"Malta"
"12362613";"Graziella Attard Previ";"Partit Nazzjonalista";"Political";"Malta"
"12362600";"Julie Zahra";"Partit Nazzjonalista";"Political";"Malta"
"12362432";"The President’s Foundation for the Wellbeing of Society";"";"Societal";"Malta"
"12362382";"Malta Society for the Protection and Care of Animals";"";"Societal";"Malta"
"12362393";"Occupy Justice";"";"Societal";"Malta"
"12362445";"Richmond Foundation";"";"Societal";"Malta"
"12362479";"Manuel Delia";"";"Societal";"Malta"
"12362672";"George Vella";"";"Political";"Malta"
"12362621";"Rebekah Borg";"Partit Nazzjonalista";"Political";"Malta"
"12362658";"Stefan Zrinzo Azzopardi";"Partit Laburista";"Political";"Malta"
"12362548";"89.7 Bay";"";"Media";"Malta"
"12362677";"Alexia DeBono";"Volt";"Political";"Malta"
"12362584";"Josianne CUTAJAR";"Partit Laburista";"Political";"Malta"
"12362530";"Għaqda Bdiewa Attivi";"";"Societal";"Malta"
"12362434";"Lovin Malta";"";"Media";"Malta"
"12362562";"Gwida";"";"Media";"Malta"
"12362538";"Cross Culture International Foundation (CCIF Malta)";"";"Societal";"Malta"
"12362577";"Gadgets";"";"Media";"Malta"
"12362441";"Allied Rainbow Communities";"";"Societal";"Malta"
"12362547";"Calypso Radio";"";"Media";"Malta"
"12362353";"The Daphne Caruana Galizia Foundation";"";"Societal";"Malta"
"12362654";"Silvio Schembri";"Partit Laburista";"Political";"Malta"
"12362372";"Women's Rights Foundation";"";"Societal";"Malta"
"12362574";"The Shift News";"";"Media";"Malta"
"12362535";"Malta Police Force";"";"Societal";"Malta"
"12362635";"Ryan Callus";"Partit Nazzjonalista";"Political";"Malta"
"12362545";"One News";"";"Media";"Malta"
"12362583";"David CASA";"Partit Nazzjonalista";"Political";"Malta"
"12362351";"Fondazzjoni Sebħ";"";"Societal";"Malta"
"12362493";"SOS Malta";"";"Societal";"Malta"
"12362419";"Malta Football Association";"";"Societal";"Malta"
"12362669";"Bernard Grech";"Partit Nazzjonalista; Partit Nazzjonalista";"Political";"Malta"
"12362673";"Partit Nazzjonalista";"";"Political";"Malta"
"12362590";"Anton Refalo";"Partit Laburista";"Political";"Malta"
"12362592";"Robert Abela";"Partit Laburista; Partit Laburista";"Political";"Malta"
"12362581";"Alex AGIUS SALIBA";"Partit Laburista";"Political";"Malta"
"12362642";"AD+PD";"";"Political";"Malta"
"12362632";"Eve Borg Bonello";"Partit Nazzjonalista";"Political";"Malta"
"12362358";"BirdLife Malta";"";"Societal";"Malta"
"12362619";"Bernice Bonello";"Partit Nazzjonalista";"Political";"Malta"
"12362640";"Volt Malta";"";"Political";"Malta"
"12362628";"MALCOLM PAUL AGIUS GALEA";"Partit Laburista";"Political";"Malta"
"12362651";"Katya De Giovanni";"Partit Laburista";"Political";"Malta"
"12362664";"Mario de Marco";"Partit Nazzjonalista";"Political";"Malta"
"12362516";"Malta Animal Rights Group";"";"Societal";"Malta"
"12362513";"Salesians of Don Bosco Malta";"";"Societal";"Malta"
"12362437";"Moviment Graffitti";"";"Societal";"Malta"
"12362585";"Roberta METSOLA";"Partit Nazzjonalista";"Political";"Malta"
"12362612";"Karol Aquilina";"Partit Nazzjonalista";"Political";"Malta"
"12362678";"Il-Gvern ta' Malta";"";"Political";"Malta"
"12362582";"Cyrus ENGERER";"Partit Laburista";"Political";"Malta"
"12362552";"Radju Marija Malta";"";"Media";"Malta"
"12362560";"Vibe FM";"";"Media";"Malta"
"12362588";"Ian Borg";"Partit Laburista";"Political";"Malta"
"12362667";"Graziella Galea";"Partit Nazzjonalista";"Political";"Malta"
"12362620";"Alex Borg";"Partit Nazzjonalista";"Political";"Malta"
"12362666";"Beppe Fenech Adami";"Partit Nazzjonalista";"Political";"Malta"
"12362665";"Adrian Delia";"Partit Nazzjonalista";"Political";"Malta"
"12362626";"Rebecca Buttigieg";"Partit Laburista";"Political";"Malta"
"12362595";"Clyde Caruana";"Partit Laburista";"Political";"Malta"
"12362520";"Malta Gaming Authority (MGA)";"";"Societal";"Malta"
"12362634";"Claudette Buttigieg";"Partit Nazzjonalista";"Political";"Malta"
"12362676";"Roderick Galdes";"";"Political";"Malta"
"12362563";"L-Orizzont";"";"Media";"Malta"
"12362555";"F Living Channel";"";"Media";"Malta"
"12362376";"Malta Enterprise";"";"Societal";"Malta"
"12362424";"Aquatic Sports Association of Malta";"";"Societal";"Malta"
"12362415";"Active Ageing and Community Care";"";"Societal";"Malta"
"12362374";"Università ta' Malta";"";"Societal";"Malta"
"12362655";"Amanda Spiteri Grech";"Partit Laburista";"Political";"Malta"
"12362348";"Badminton Malta";"";"Societal";"Malta"
"12362544";"Kullħadd";"";"Media";"Malta"
"12362375";"Malta College of Arts, Science and Technology (MCAST)";"";"Societal";"Malta"
